mode,question,answer_chars,answer_words
baseline,Как блокчейн используется в цифровых двойниках?,548,70
baseline,Что говорится о low-code platforms?,474,55
baseline,Какие методы используются в исследованиях метавселенной?,412,48
baseline,Какие темы связаны с 6G и smart city?,222,29
baseline,Какие приложения и вызовы связаны с Web3 и цифровой экономикой?,222,29
tuned,Как блокчейн используется в цифровых двойниках?,653,84
tuned,Что говорится о low-code platforms?,474,55
tuned,Какие методы используются в исследованиях метавселенной?,635,80
tuned,Какие темы связаны с 6G и smart city?,785,103
tuned,Какие приложения и вызовы связаны с Web3 и цифровой экономикой?,767,97
hybrid,Как блокчейн используется в цифровых двойниках?,653,84
hybrid,Что говорится о low-code platforms?,560,66
hybrid,Какие методы используются в исследованиях метавселенной?,539,66
hybrid,Какие темы связаны с 6G и smart city?,598,74
hybrid,Какие приложения и вызовы связаны с Web3 и цифровой экономикой?,776,98
